asin,titulo,precio_ahora,precio_antes,categoria,gancho,imagen_url
B0H7J27HPD,Huawei Watch GT 7 46mm,249.00,299.00,Tecnologia,Oferta flash,https://m.media-amazon.com/images/I/71h-SgYtLbL._AC_SL1500_.jpg
B0F3PCN8T2,Ariel Todo en 1 PODS 105 capsulas,25.49,39.99,Hogar,Oferta flash,https://m.media-amazon.com/images/I/710Hdm9ZS4L._AC_SL1500_.jpg
B0FP56DPTM,Aspiradora sin cable SMOTURE VAC02,128.60,239.99,Hogar,Oferta flash,https://m.media-amazon.com/images/I/81aI7Nw5a8L._AC_SL1500_.jpg
B0BGJC5GZ1,Creatina monohidratada Foodelis 1 kg,14.89,21.95,Deporte,Oferta flash,https://m.media-amazon.com/images/I/61piap6mItL._AC_SL1500_.jpg
B0DCFP3Z14,Philips OneBlade 360 QP2724/31,35.99,49.99,Tecnologia,Se agota rapido,https://m.media-amazon.com/images/I/81JFlflYxZL._AC_SL1500_.jpg
